# b = 8.82403 fm
# NBC: 295
# x[fm] y[fm]
0.168443 -3.29896
0.46084 -2.26708
0.627011 -1.14101
0.417193 -1.54164
0.368748 -1.66466
1.03628 -1.60879
0.10762 -2.00428
-0.1052 -1.66117
0.620924 -2.47611
0.804123 -1.68207
